"Month","VHT","ToD","Agents","CallsOffered","CallsAbandoned","CallsHandled","ASA","Avehandletime"
"Oct-Nov","Off","evening","8","40","1","39","0.13","6.8"
"Oct-Nov","On","morning","22","203","30","173","6.72","5.2"
"Oct-Nov","Off","afternoo","37","202","2","200","0.48","5.6"
"Oct-Nov","On","evening","11","65","0","65","0.00","5.1"
"Feb-Mar","On","morning","31","183","0","183","0.00","5.0"
"Feb-Mar","Off","afternoo","38","202","0","202","0.00","5.6"
"Feb-Mar","Off","evening","11","77","0","77","0.00","4.3"
"Feb-Mar","Off","morning","38","241","0","241","0.05","4.8"
"Feb-Mar","Off","afternoo","24","156","0","156","0.00","4.8"
"Feb-Mar","Off","evening","5","59","0","59","0.00","2.8"
"Feb-Mar","Off","afternoo","43","267","1","266","0.02","4.9"
"Feb-Mar","On","evening","13","99","3","96","0.85","4.0"
"Feb-Mar","Off","morning","35","198","0","198","0.00","5.3"
"Feb-Mar","On","afternoo","34","197","0","197","0.00","5.2"
"Feb-Mar","Off","evening","10","88","1","87","0.98","3.2"
"Feb-Mar","Off","afternoo","31","181","0","181","0.00","5.1"
"Feb-Mar","Off","evening","14","84","2","82","1.05","5.3"
"Feb-Mar","Off","morning","22","202","0","202","0.00","3.2"
"Feb-Mar","Off","evening","10","71","0","71","0.00","4.5"
"Feb-Mar","Off","morning","30","192","0","192","0.00","4.5"
"Feb-Mar","Off","afternoo","33","223","0","223","0.00","4.5"
"Feb-Mar","Off","evening","10","57","0","57","0.00","5.0"
"Feb-Mar","Off","afternoo","6","40","0","40","0.10","3.9"
"Feb-Mar","Off","afternoo","35","189","0","189","0.00","5.4"
"Feb-Mar","Off","evening","16","85","8","77","1.15","6.3"
"Feb-Mar","On","morning","29","171","0","171","0.00","5.0"
"Feb-Mar","Off","afternoo","23","151","0","151","0.00","4.7"
"Feb-Mar","On","evening","11","61","0","61","0.03","5.3"
"Feb-Mar","Off","morning","30","171","0","171","0.00","5.3"
"Feb-Mar","On","evening","10","58","1","57","0.00","5.2"
"Feb-Mar","Off","morning","22","134","0","134","0.00","4.9"
"Feb-Mar","On","afternoo","22","161","0","161","0.03","4.1"
"Feb-Mar","Off","evening","6","70","28","42","10.80","5.8"
"Feb-Mar","On","morning","30","175","1","174","0.22","5.2"
"Feb-Mar","Off","afternoo","29","162","0","162","0.02","5.2"
"Feb-Mar","Off","evening","6","44","0","44","0.02","4.9"
"Feb-Mar","Off","morning","9","45","0","45","0.00","5.6"
"Feb-Mar","Off","afternoo","36","196","0","196","0.00","5.6"
"Feb-Mar","Off","evening","14","69","0","69","0.05","5.7"
"Feb-Mar","On","morning","8","50","0","50","0.02","4.4"
"Feb-Mar","Off","afternoo","5","34","0","34","0.02","5.0"
"Feb-Mar","On","morning","33","208","0","208","0.02","4.7"
"Feb-Mar","On","afternoo","34","201","0","201","0.00","5.2"
"Feb-Mar","Off","evening","14","73","0","73","0.50","5.6"
"Feb-Mar","Off","morning","28","169","0","169","0.00","4.8"
"Feb-Mar","On","afternoo","26","152","1","151","0.05","5.1"
"Feb-Mar","Off","evening","9","57","1","56","0.10","4.9"
"Feb-Mar","On","morning","22","152","0","152","0.00","4.3"
"Feb-Mar","On","afternoo","25","161","0","161","0.03","4.5"
"Feb-Mar","Off","evening","12","69","0","69","0.00","5.3"
"Feb-Mar","Off","morning","28","160","0","160","0.00","5.2"
"Feb-Mar","On","evening","13","59","0","59","0.20","6.1"
"Feb-Mar","Off","morning","34","198","0","198","0.00","5.1"
"Feb-Mar","Off","evening","7","43","0","43","0.00","5.5"
"Dec-Jan","On","evening","17","91","1","90","0.55","5.8"
"Dec-Jan","Off","evening","9","50","0","50","0.03","5.1"
"Dec-Jan","Off","evening","10","65","1","64","0.12","5.2"
"Dec-Jan","On","evening","8","45","0","45","0.00","5.4"
"Dec-Jan","Off","evening","14","79","1","78","0.17","5.4"
"Dec-Jan","Off","evening","11","58","2","56","0.35","6.3"
"Dec-Jan","On","morning","26","167","0","167","0.07","4.5"
"Dec-Jan","Off","evening","8","49","0","49","0.05","5.2"
